EbayID,Labels
37908,Ebay>Antiques>Antiquities>TheAmericas
162922,Ebay>Antiques>Antiquities>Byzantine
162923,Ebay>Antiques>Antiquities>Celtic
37905,Ebay>Antiques>Antiquities>Egyptian
162916,Ebay>Antiques>Antiquities>FarEastern
37906,Ebay>Antiques>Antiquities>Greek
162917,Ebay>Antiques>Antiquities>HolyLand
162918,Ebay>Antiques>Antiquities>Islamic
91101,Ebay>Antiques>Antiquities>NearEastern
66834,Ebay>Antiques>Antiquities>Neolithic_Paleolithic
37907,Ebay>Antiques>Antiquities>Roman
162919,Ebay>Antiques>Antiquities>SouthItalian
162920,Ebay>Antiques>Antiquities>Viking
162921,Ebay>Antiques>Antiquities>Reproductions
171169,Ebay>Antiques>Antiquities>PriceGuides_Publications
73464,Ebay>Antiques>Antiquities>OtherAntiquities
162925,Ebay>Antiques>Architectural_Garden>Balusters
162926,Ebay>Antiques>Architectural_Garden>BarnDoors_BarnDoorHardware
162927,Ebay>Antiques>Architectural_Garden>Beams
37909,Ebay>Antiques>Architectural_Garden>CeilingTins
63516,Ebay>Antiques>Architectural_Garden>Chandeliers_Sconces_LightingFixtures
162928,Ebay>Antiques>Architectural_Garden>Columns_Posts
162929,Ebay>Antiques>Architectural_Garden>Corbels
37910,Ebay>Antiques>Architectural_Garden>Doors
63517,Ebay>Antiques>Architectural_Garden>Finials
63518,Ebay>Antiques>Architectural_Garden>Fireplaces_Mantels_FireplaceAccessories
4708,Ebay>Antiques>Architectural_Garden>Garden
37912,Ebay>Antiques>Architectural_Garden>Hardware>DoorBells_Knockers
37914,Ebay>Antiques>Architectural_Garden>Hardware>DoorKnobs_Handles
37916,Ebay>Antiques>Architectural_Garden>Hardware>DoorPlates_Backplates
162933,Ebay>Antiques>Architectural_Garden>Hardware>DrawerPulls
162934,Ebay>Antiques>Architectural_Garden>Hardware>Escutcheons_KeyHoleCovers
162935,Ebay>Antiques>Architectural_Garden>Hardware>HeatingGrates_Vents
184487,Ebay>Antiques>Architectural_Garden>Hardware>Hinges
