category_name,category_url,category_id
AutoParts_Accessories,https://www.ebay.com/b/Auto-Parts-Accessories/6028/bn_569479,6028
AutomotiveTools_Supplies,https://www.ebay.com/b/Automotive-Tools-Supplies/34998/bn_1865501,34998
OtherVehicles_Trailers,https://www.ebay.com/b/Other-Vehicles-Trailers/6038/bn_1865426,6038
Motorcycles,https://www.ebay.com/b/Motorcycles/6024/bn_1865434,6024
PowersportVehicles,https://www.ebay.com/b/Powersport-Vehicles/66466/bn_1865239,66466
Boats,https://www.ebay.com/b/Boats/26429/bn_1865510,26429
WomensClothing,https://www.ebay.com/b/Womens-Clothing/15724/bn_661783,15724
Activewear,https://www.ebay.com/b/Womens-Activewear/185098/bn_114990355,185098
Coats_Jackets_Vests,https://www.ebay.com/b/Womens-Coats-Jackets-Vests/63862/bn_661792,63862
Dresses,https://www.ebay.com/b/Womens-Dresses/63861/bn_661850,63861
Hosiery_Socks,https://www.ebay.com/b/Womens-Hosiery-Socks/11524/bn_661765,11524
Intimates_Sleep,https://www.ebay.com/b/Womens-Intimates-Sleep/11514/bn_661761,11514
Jeans,https://www.ebay.com/b/Womens-Jeans/11554/bn_661774,11554
Jumpsuits_Rompers,https://www.ebay.com/b/Womens-Jumpsuits-Rompers/3009/bn_661754,3009
Leggings,https://www.ebay.com/b/Womens-Leggings/169001/bn_661928,169001
Outfits_Sets,https://www.ebay.com/b/Womens-Outfits-Sets/260011/bn_7116398827,260011
Pants,https://www.ebay.com/b/Womens-Pants/63863/bn_661852,63863
Shorts,https://www.ebay.com/b/Womens-Shorts/11555/bn_661775,11555
Skirts,https://www.ebay.com/b/Womens-Skirts/63864/bn_661853,63864
Suits_SuitSeparates,https://www.ebay.com/b/Womens-Suits-Suit-Separates/63865/bn_661854,63865
Sweaters,https://www.ebay.com/b/Womens-Sweaters/63866/bn_661855,63866
Swimwear,https://www.ebay.com/b/Womens-Swimwear/63867/bn_661856,63867
Tops,https://www.ebay.com/b/Womens-Tops/53159/bn_661824,53159
Women,https://www.ebay.com/b/Womens-Clothing-Shoes-Accessories/260010/bn_7116391826,260010
WomensShoes,https://www.ebay.com/b/Womens-Shoes/3034/bn_740022,3034
AthleticShoes,https://www.ebay.com/b/Womens-Sneakers/95672/bn_739133,95672
Boots,https://www.ebay.com/b/Womens-Boots/53557/bn_738870,53557
ComfortShoes,https://www.ebay.com/b/Womens-Comfort-Shoes/53548/bn_738267,53548
Flats,https://www.ebay.com/b/Womens-Flats/45333/bn_738286,45333
Heels,https://www.ebay.com/b/Womens-Heels/55793/bn_738266,55793
Sandals,https://www.ebay.com/b/Womens-Sandals/62107/bn_739476,62107
Slippers,https://www.ebay.com/b/Womens-Slippers/11632/bn_748965,11632
Women,https://www.ebay.com/b/Womens-Clothing-Shoes-Accessories/260010/bn_7116391826,260010
WomensAccessories,https://www.ebay.com/b/Womens-Accessories/4251/bn_1519247,4251
BeltBuckles,https://www.ebay.com/b/Womens-Belt-Buckles/163573/bn_1519229,163573
Belts,https://www.ebay.com/b/Womens-Belts/3003/bn_1521536,3003
Fascinators_Headpieces,https://www.ebay.com/b/Womens-Fascinators-Headpieces/168998/bn_1521541,168998
Gloves_Mittens,https://www.ebay.com/b/Womens-Gloves-Mittens/105559/bn_1521589,105559
HairAccessories,https://www.ebay.com/b/Womens-Hair-Accessories/45220/bn_1519171,45220
HandbagAccessories,https://www.ebay.com/b/Womens-Handbag-Accessories/163570/bn_738883,163570
Hats,https://www.ebay.com/b/Womens-Hats/45230/bn_1519384,45230
ID_DocumentHolders,https://www.ebay.com/b/Womens-ID-Document-Holders/169285/bn_1519226,169285
KeyChains_Rings_Finders,https://www.ebay.com/b/Womens-Key-Chains-Rings-Finders/45237/bn_1521618,45237
Organizers_DayPlanners,https://www.ebay.com/b/Womens-Organizers-Day-Planners/15735/bn_1521619,15735
Scarves_Wraps,https://www.ebay.com/b/Womens-Scarves-Wraps/45238/bn_1521581,45238
ShoeCharms_Jewelry,https://www.ebay.com/b/Womens-Shoe-Charms/150955/bn_1519204,150955
Sunglasses_SunglassesAccessories,https://www.ebay.com/b/Womens-Sunglasses-Sunglasses-Accessories/179247/bn_1519274,179247
Ties,https://www.ebay.com/b/Womens-Ties/151486/bn_1519340,151486
Umbrellas,https://www.ebay.com/b/Womens-Umbrellas/105569/bn_1521588,105569
Wallets,https://www.ebay.com/b/Womens-Wallets/45258/bn_1521617,45258
AccessorySets,https://www.ebay.com/b/Womens-Accessory-Sets/15738/bn_1519230,15738
Women,https://www.ebay.com/b/Womens-Clothing-Shoes-Accessories/260010/bn_7116391826,260010
WomensBags_Handbags,https://www.ebay.com/b/Womens-Bags-Handbags/169291/bn_738272,169291
WomensClothing,https://www.ebay.com/b/Womens-Clothing/15724/bn_661783,15724
WomensShoes,https://www.ebay.com/b/Womens-Shoes/3034/bn_740022,3034
WomensAccessories,https://www.ebay.com/b/Womens-Accessories/4251/bn_1519247,4251
Women,https://www.ebay.com/b/Womens-Clothing-Shoes-Accessories/260010/bn_7116391826,260010
MensClothing,https://www.ebay.com/b/Mens-Clothing/1059/bn_696958,1059
Activewear,https://www.ebay.com/b/Mens-Activewear/185099/bn_115081045,185099
Coats_Jackets_Vests,https://www.ebay.com/b/Mens-Coats-Jackets/57988/bn_704986,57988
Jeans,https://www.ebay.com/b/Mens-Jeans/11483/bn_694325,11483
Pants,https://www.ebay.com/b/Mens-Pants/57989/bn_704981,57989
Shirts,https://www.ebay.com/b/Mens-Shirts/185100/bn_115044909,185100
Shorts,https://www.ebay.com/b/Mens-Shorts/15689/bn_692648,15689
Sleepwear_Robes,https://www.ebay.com/b/Mens-Sleepwear-Robes/11510/bn_700986,11510
Socks,https://www.ebay.com/b/Mens-Socks/11511/bn_695500,11511
Suits_SuitSeparates,https://www.ebay.com/b/Mens-Suits-Blazers/3001/bn_704984,3001
Sweaters,https://www.ebay.com/b/Mens-Sweaters/11484/bn_704990,11484
Swimwear,https://www.ebay.com/b/Mens-Swimwear/15690/bn_694472,15690
Underwear,https://www.ebay.com/b/Mens-Underwear/11507/bn_698116,11507
Men,https://www.ebay.com/b/Mens-Clothing-Shoes-Accessories/260012/bn_7116419459,260012
MensShoes,https://www.ebay.com/b/Mens-Shoes/93427/bn_61999,93427
AthleticShoes,https://www.ebay.com/b/Sneakers-for-Men/15709/bn_57918,15709
Boots,https://www.ebay.com/b/Mens-Boots/11498/bn_56522,11498
CasualShoes,https://www.ebay.com/b/Mens-Casual-Shoes/24087/bn_57235,24087
DressShoes,https://www.ebay.com/b/Mens-Dress-Shoes/53120/bn_61106,53120
Sandals,https://www.ebay.com/b/Mens-Sandals/11504/bn_57786,11504
Slippers,https://www.ebay.com/b/Mens-Slippers/11505/bn_57917,11505
Men,https://www.ebay.com/b/Mens-Clothing-Shoes-Accessories/260012/bn_7116419459,260012
MensAccessories,https://www.ebay.com/b/Mens-Accessories/4250/bn_1642245,4250
Bags,https://www.ebay.com/b/Mens-Bags/52357/bn_738268,52357
BeltBuckles,https://www.ebay.com/b/Mens-Belt-Buckles/86647/bn_738710,86647
Belts,https://www.ebay.com/b/Mens-Belts/2993/bn_728930,2993
CollarStays,https://www.ebay.com/b/Mens-Collar-Stays/184594/bn_97620001,184594
Gloves_Mittens,https://www.ebay.com/b/Mens-Gloves-Mittens/2994/bn_738709,2994
Handkerchiefs,https://www.ebay.com/b/Mens-Handkerchiefs/167902/bn_738719,167902
Hats,https://www.ebay.com/b/Mens-Hats/52365/bn_738858,52365
ID_DocumentHolders,https://www.ebay.com/b/Mens-ID-Document-Holders/169271/bn_749256,169271
KeyChains_Rings_Cases,https://www.ebay.com/b/Mens-Key-Chains-Rings-Cases/52373/bn_1642772,52373
Scarves,https://www.ebay.com/b/Mens-Scarves/52382/bn_739478,52382
Sunglasses_SunglassesAccessories,https://www.ebay.com/b/Mens-Sunglasses-Sunglasses-Accessories/179239/bn_1650085,179239
Suspenders,https://www.ebay.com/b/Mens-Suspenders/105387/bn_738736,105387
Ties,https://www.ebay.com/b/Mens-Ties/15662/bn_717535,15662
Umbrellas,https://www.ebay.com/b/Mens-Umbrellas/90634/bn_739465,90634
Wallets,https://www.ebay.com/b/Mens-Wallets/2996/bn_739214,2996
AccessorySets,https://www.ebay.com/b/Mens-Accessory-Sets/175627/bn_1637605,175627
Men,https://www.ebay.com/b/Mens-Clothing-Shoes-Accessories/260012/bn_7116419459,260012
KidsClothing_Shoes_Accessories,https://www.ebay.com/b/Kids-Clothing-Shoes-Accessories/171146/bn_1642843,171146
Backpacks_Bags,https://www.ebay.com/b/Kids-Backpacks-Bags/260988/bn_661826,260988
Boys,https://www.ebay.com/b/Boys-Clothing-Shoes-Accessories/260013/bn_7116391831,260013
Girls,https://www.ebay.com/b/Girls-Clothing-Shoes-Accessories/260015/bn_7116422300,260015
UnisexKids,https://www.ebay.com/b/Unisex-Kids-Clothing-Shoes-Accessories/260017/bn_7116399765,260017
Clothing_Shoes_Accessories,https://www.ebay.com/b/Clothing-Shoes-Accessories/11450/bn_1852545,11450
BabyClothing_Shoes_Accessories,https://www.ebay.com/b/Baby-Clothing-Shoes-Accessories/260018/bn_7116420432,260018
Baby_ToddlerClothing,https://www.ebay.com/b/Baby-Clothing/260019/bn_7116411604,260019
BabyShoes,https://www.ebay.com/b/Baby-Toddler-Shoes/147285/bn_661896,147285
BabyAccessories,https://www.ebay.com/b/Baby-Clothing-Accessories/163222/bn_661912,163222
Clothing_Shoes_Accessories,https://www.ebay.com/b/Clothing-Shoes-Accessories/11450/bn_1852545,11450
Costume_Occasion_SpecializedClothing_Shoes_Accessories,https://www.ebay.com/b/Costume-Occasion-Specialized-Clothing-Shoes-Accessories/bn_7114095785,bn_7114095785
Costume_Reenactment_TheaterApparel,https://www.ebay.com/b/Costume-Reenactment-Theater-Apparel/163147/bn_866818,163147
Dancewear,https://www.ebay.com/b/Dancewear/112425/bn_827508,112425
Uniforms_WorkClothing,https://www.ebay.com/b/Uniforms-Work-Clothing/28015/bn_1865569,28015
VintageClothing_Shoes_Accessories,https://www.ebay.com/b/Vintage-Clothing-Shoes-Accessories/175759/bn_1865473,175759
Wedding_FormalWear,https://www.ebay.com/b/Wedding-Formal-Wear/3259/bn_223824,3259
World_TraditionalClothing,https://www.ebay.com/b/World-Traditional-Clothing/155240/bn_700999,155240
Clothing_ShoeCareProducts,https://www.ebay.com/b/Clothing-Shoe-Care-Products/106121/bn_114597362,106121
Jewelry,https://www.ebay.com/b/Jewelry/bn_7000259126,bn_7000259126
FineJewelry,https://www.ebay.com/b/Fine-Jewelry/4196/bn_2408477,4196
Vintage_AntiqueJewelry,https://www.ebay.com/b/Vintage-Antique-Jewelry/48579/bn_7208275,48579
Ethnic_Regional_TribalJewelry,https://www.ebay.com/b/Ethnic-Regional-Tribal-Jewelry/11312/bn_7208218,11312
LooseDiamonds_Gemstones,https://www.ebay.com/b/Loose-Diamonds-Gemstones/491/bn_1519324,491
FashionJewelry,https://www.ebay.com/b/Fashion-Jewelry/10968/bn_2408529,10968
Engagement_WeddingJewelry,https://www.ebay.com/b/Engagement-Wedding-Jewelry/91427/bn_1309172,91427
JewelryDesign_RepairSupplies,https://www.ebay.com/b/Jewelry-Design-Repair-Supplies/164352/bn_7208233,164352
LooseBeads,https://www.ebay.com/b/Loose-Beads/179264/bn_1642915,179264
